Time,Step,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,Q_Err,DQ_Norm,Reached
0.187000,1,2.131920,-2.035439,92.398378,3.970653,86.569461,4.530330,105.373529,78.782795,0
0.188000,1,2.154600,-2.054994,92.419158,4.011431,86.538746,4.578525,105.298014,79.105181,0
0.189000,1,2.177400,-2.074604,92.439983,4.052362,86.507961,4.626975,105.222172,79.426415,0
0.190000,1,2.200320,-2.094270,92.460852,4.093443,86.477105,4.675680,105.146004,79.746505,0
0.191000,1,2.223360,-2.113990,92.481764,4.134673,86.446179,4.724640,105.069510,80.065460,0
0.192000,1,2.246520,-2.133765,92.502719,4.176051,86.415184,4.773855,104.992692,80.383289,0
0.193000,1,2.269800,-2.153593,92.523717,4.217576,86.384122,4.823325,104.915550,80.700000,0
0.194000,1,2.293200,-2.173474,92.544757,4.259246,86.352991,4.873050,104.838085,81.015603,0
0.195000,1,2.316720,-2.193408,92.565838,4.301060,86.321795,4.923030,104.760299,81.330104,0
0.196000,1,2.340360,-2.213394,92.586960,4.343016,86.290532,4.973265,104.682191,81.643514,0
0.197000,1,2.364120,-2.233431,92.608122,4.385113,86.259204,5.023755,104.603763,81.955841,0
0.198000,1,2.388000,-2.253519,92.629325,4.427351,86.227812,5.074500,104.525016,82.267094,0
0.199000,1,2.412000,-2.273658,92.650567,4.469727,86.196356,5.125500,104.445951,82.577280,0
0.200000,1,2.436120,-2.293846,92.671849,4.512240,86.164837,5.176755,104.366568,82.886408,0
0.201000,1,2.460360,-2.314084,92.693169,4.554890,86.133255,5.228265,104.286868,83.194487,0
0.202000,1,2.484720,-2.334371,92.714527,4.597674,86.101612,5.280030,104.206853,83.501526,0
0.203000,1,2.509200,-2.354706,92.735923,4.640591,86.069909,5.332050,104.126522,83.807532,0
0.204000,1,2.533800,-2.375089,92.757356,4.683641,86.038145,5.384325,104.045878,84.112514,0
0.205000,1,2.558519,-2.395519,92.778827,4.726821,86.006321,5.436855,103.964920,84.416210,0
0.206000,1,2.583356,-2.415996,92.800333,4.770131,85.974439,5.489640,103.883650,84.718605,0
0.207000,1,2.608310,-2.436520,92.821876,4.813570,85.942498,5.542680,103.802070,85.019708,0
0.208000,1,2.633381,-2.457089,92.843454,4.857136,85.910500,5.595975,103.720180,85.319527,0
0.209000,1,2.658566,-2.477703,92.865068,4.900827,85.878446,5.649525,103.637981,85.618070,0
0.210000,1,2.683866,-2.498363,92.886716,4.944644,85.846335,5.703330,103.555474,85.915347,0
0.211000,1,2.709279,-2.519067,92.908398,4.988583,85.814169,5.757390,103.472661,86.211367,0
0.212000,1,2.734803,-2.539814,92.930114,5.032645,85.781949,5.811705,103.389542,86.506138,0
0.213000,1,2.760440,-2.560605,92.951863,5.076828,85.749674,5.866275,103.306119,86.799668,0
0.214000,1,2.786186,-2.581439,92.973645,5.121131,85.717346,5.921100,103.222392,87.091967,0
0.215000,1,2.812042,-2.602315,92.995460,5.165552,85.684965,5.976180,103.138363,87.383042,0
0.216000,1,2.838006,-2.623234,93.017307,5.210091,85.652532,6.031515,103.054032,87.672904,0
0.217000,1,2.864077,-2.644194,93.039185,5.254746,85.620048,6.087105,102.969401,87.961560,0
0.218000,1,2.890255,-2.665194,93.061095,5.299515,85.587513,6.142950,102.884471,88.249019,0
0.219000,1,2.916538,-2.686236,93.083036,5.344399,85.554927,6.199050,102.799242,88.535289,0
0.220000,1,2.942926,-2.707317,93.105007,5.389396,85.522293,6.255405,102.713716,88.820380,0
0.221000,1,2.969418,-2.728438,93.127008,5.434504,85.489609,6.312015,102.627894,89.104300,0
0.222000,1,2.996013,-2.749598,93.149038,5.479722,85.456878,6.368880,102.541776,89.387057,0
0.223000,1,3.022709,-2.770797,93.171098,5.525050,85.424099,6.426000,102.455364,89.668660,0
0.224000,1,3.049506,-2.792034,93.193186,5.570485,85.391272,6.483375,102.368658,89.949117,0
0.225000,1,3.076404,-2.813308,93.215303,5.616028,85.358400,6.541005,102.281660,90.228437,0
0.226000,1,3.103400,-2.834620,93.237448,5.661676,85.325482,6.598890,102.194371,90.506629,0
0.227000,1,3.130495,-2.855969,93.259620,5.707429,85.292519,6.657030,102.106791,90.783701,0
0.228000,1,3.157687,-2.877355,93.281820,5.753286,85.259511,6.715425,102.018921,91.059661,0
0.229000,1,3.184975,-2.898776,93.304046,5.799245,85.226460,6.774075,101.930763,91.334518,0
