Time,Step,J1,J2,J3,J4,J5,J6,Q_Error,Exec_us,Reached
0.2470,1,0.0000,0.0000,5.5354,0.0000,0.0000,0.0000,84.4646,0.2130,0
0.2480,1,0.0000,0.0000,5.5801,0.0000,0.0000,0.0000,84.4199,0.2120,0
0.2490,1,0.0000,0.0000,5.6250,0.0000,0.0000,0.0000,84.3750,0.2130,0
0.2500,1,0.0000,0.0000,5.6701,0.0000,0.0000,0.0000,84.3299,0.2090,0
0.2510,1,0.0000,0.0000,5.7154,0.0000,0.0000,0.0000,84.2846,0.2110,0
0.2520,1,0.0000,0.0000,5.7608,0.0000,0.0000,0.0000,84.2392,0.2120,0
0.2530,1,0.0000,0.0000,5.8064,0.0000,0.0000,0.0000,84.1936,0.2120,0
0.2540,1,0.0000,0.0000,5.8523,0.0000,0.0000,0.0000,84.1477,0.2120,0
0.2550,1,0.0000,0.0000,5.8982,0.0000,0.0000,0.0000,84.1018,0.2140,0
0.2560,1,0.0000,0.0000,5.9444,0.0000,0.0000,0.0000,84.0556,0.2130,0
0.2570,1,0.0000,0.0000,5.9908,0.0000,0.0000,0.0000,84.0092,0.2260,0
0.2580,1,0.0000,0.0000,6.0373,0.0000,0.0000,0.0000,83.9627,0.2180,0
0.2590,1,0.0000,0.0000,6.0840,0.0000,0.0000,0.0000,83.9160,0.2170,0
0.2600,1,0.0000,0.0000,6.1309,0.0000,0.0000,0.0000,83.8691,0.2160,0
0.2610,1,0.0000,0.0000,6.1780,0.0000,0.0000,0.0000,83.8220,0.2120,0
0.2620,1,0.0000,0.0000,6.2252,0.0000,0.0000,0.0000,83.7748,0.2130,0
0.2630,1,0.0000,0.0000,6.2726,0.0000,0.0000,0.0000,83.7274,0.2110,0
0.2640,1,0.0000,0.0000,6.3203,0.0000,0.0000,0.0000,83.6797,0.2120,0
0.2650,1,0.0000,0.0000,6.3680,0.0000,0.0000,0.0000,83.6320,0.2130,0
0.2660,1,0.0000,0.0000,6.4160,0.0000,0.0000,0.0000,83.5840,0.2110,0
0.2670,1,0.0000,0.0000,6.4642,0.0000,0.0000,0.0000,83.5358,0.2120,0
0.2680,1,0.0000,0.0000,6.5125,0.0000,0.0000,0.0000,83.4875,0.2140,0
0.2690,1,0.0000,0.0000,6.5610,0.0000,0.0000,0.0000,83.4390,0.2120,0
0.2700,1,0.0000,0.0000,6.6097,0.0000,0.0000,0.0000,83.3903,0.2140,0
0.2710,1,0.0000,0.0000,6.6586,0.0000,0.0000,0.0000,83.3414,0.2130,0
0.2720,1,0.0000,0.0000,6.7076,0.0000,0.0000,0.0000,83.2924,0.2120,0
0.2730,1,0.0000,0.0000,6.7568,0.0000,0.0000,0.0000,83.2432,0.2110,0
0.2740,1,0.0000,0.0000,6.8063,0.0000,0.0000,0.0000,83.1937,0.2140,0
0.2750,1,0.0000,0.0000,6.8558,0.0000,0.0000,0.0000,83.1442,0.2110,0
0.2760,1,0.0000,0.0000,6.9056,0.0000,0.0000,0.0000,83.0944,0.2170,0
0.2770,1,0.0000,0.0000,6.9556,0.0000,0.0000,0.0000,83.0444,0.8660,0
0.2780,1,0.0000,0.0000,7.0057,0.0000,0.0000,0.0000,82.9943,0.2140,0
