Time,Desired_Q,Desired_DQ,Desired_DDQ
0.628,9.08057,4.62027,-23.2174
0.629,9.08516,4.59717,-23.1013
0.63,9.08974,4.57418,-22.9858
0.631,9.09429,4.55131,-22.8709
0.632,9.09882,4.52855,-22.7565
0.633,9.10332,4.50591,-22.6428
0.634,9.10781,4.48338,-22.5296
0.635,9.11227,4.46096,-22.4169
0.636,9.11671,4.43866,-22.3048
0.637,9.12112,4.41647,-22.1933
0.638,9.12552,4.39438,-22.0823
0.639,9.12989,4.37241,-21.9719
0.64,9.13424,4.35055,-21.8621
0.641,9.13857,4.3288,-21.7527
0.642,9.14288,4.30715,-21.644
0.643,9.14716,4.28562,-21.5358
0.644,9.15143,4.26419,-21.4281
0.645,9.15567,4.24287,-21.3209
0.646,9.15989,4.22165,-21.2143
0.647,9.16409,4.20055,-21.1083
0.648,9.16827,4.17954,-21.0027
0.649,9.17243,4.15864,-20.8977
0.65,9.17657,4.13785,-20.7932
0.651,9.18068,4.11716,-20.6893
0.652,9.18478,4.09658,-20.5858
0.653,9.18886,4.07609,-20.4829
0.654,9.19291,4.05571,-20.3805
0.655,9.19695,4.03543,-20.2786
0.656,9.20096,4.01526,-20.1772
0.657,9.20496,3.99518,-20.0763
0.658,9.20893,3.97521,-19.9759
0.659,9.21289,3.95533,-19.876
0.66,9.21683,3.93555,-19.7766
0.661,9.22074,3.91587,-19.6778
0.662,9.22464,3.8963,-19.5794
0.663,9.22851,3.87681,-19.4815
0.664,9.23237,3.85743,-19.3841
0.665,9.23621,3.83814,-19.2871
0.666,9.24003,3.81895,-19.1907
0.667,9.24383,3.79986,-19.0948
0.668,9.24761,3.78086,-18.9993
0.669,9.25137,3.76195,-18.9043
0.67,9.25511,3.74314,-18.8098
0.671,9.25884,3.72443,-18.7157
0.672,9.26254,3.70581,-18.6221
0.673,9.26623,3.68728,-18.529
0.674,9.2699,3.66884,-18.4364
0.675,9.27355,3.6505,-18.3442
0.676,9.27718,3.63224,-18.2525
0.677,9.2808,3.61408,-18.1612
0.678,9.28439,3.59601,-18.0704
0.679,9.28797,3.57803,-17.9801
0.68,9.29153,3.56014,-17.8902
0.681,9.29507,3.54234,-17.8007
0.682,9.2986,3.52463,-17.7117
0.683,9.30211,3.50701,-17.6231
0.684,9.3056,3.48947,-17.535
0.685,9.30907,3.47202,-17.4474
0.686,9.31252,3.45466,-17.3601
0.687,9.31596,3.43739,-17.2733
0.688,9.31938,3.4202,-17.187
0.689,9.32278,3.4031,-17.101
0.69,9.32617,3.38609,-17.0155
0.691,9.32954,3.36916,-16.9304
0.692,9.33289,3.35231,-16.8458
0.693,9.33623,3.33555,-16.7616
0.694,9.33954,3.31887,-16.6777
0.695,9.34285,3.30228,-16.5944
0.696,9.34613,3.28577,-16.5114
0.697,9.3494,3.26934,-16.4288
0.698,9.35265,3.25299,-16.3467
0.699,9.35589,3.23673,-16.265
0.7,9.35911,3.22054,-16.1836
0.701,9.36232,3.20444,-16.1027
0.702,9.36551,3.18842,-16.0222
0.703,9.36868,3.17247,-15.9421
0.704,9.37183,3.15661,-15.8624
0.705,9.37497,3.14083,-15.7831
0.706,9.3781,3.12513,-15.7041
0.707,9.38121,3.1095,-15.6256
0.708,9.3843,3.09395,-15.5475
0.709,9.38738,3.07848,-15.4698
0.71,9.39045,3.06309,-15.3924
0.711,9.39349,3.04777,-15.3154
0.712,9.39653,3.03254,-15.2389
0.713,9.39954,3.01737,-15.1627
0.714,9.40255,3.00229,-15.0869
0.715,9.40553,2.98727,-15.0114
0.716,9.4085,2.97234,-14.9364
0.717,9.41146,2.95748,-14.8617
0.718,9.4144,2.94269,-14.7874
0.719,9.41733,2.92798,-14.7134
0.72,9.42025,2.91334,-14.6399
0.721,9.42314,2.89877,-14.5667
0.722,9.42603,2.88428,-14.4938
0.723,9.4289,2.86985,-14.4214
0.724,9.43175,2.8555,-14.3493
0.725,9.4346,2.84123,-14.2775
0.726,9.43742,2.82702,-14.2061
0.727,9.44024,2.81289,-14.1351
0.728,9.44303,2.79882,-14.0644
0.729,9.44582,2.78483,-13.9941
0.73,9.44859,2.7709,-13.9241
0.731,9.45135,2.75705,-13.8545
0.732,9.45409,2.74326,-13.7852
0.733,9.45682,2.72955,-13.7163
0.734,9.45954,2.7159,-13.6477
0.735,9.46224,2.70232,-13.5795
0.736,9.46493,2.68881,-13.5116
0.737,9.4676,2.67536,-13.444
0.738,9.47026,2.66199,-13.3768
0.739,9.47291,2.64868,-13.3099
0.74,9.47555,2.63543,-13.2434
0.741,9.47817,2.62226,-13.1772
0.742,9.48078,2.60915,-13.1113
0.743,9.48338,2.5961,-13.0457
0.744,9.48596,2.58312,-12.9805
0.745,9.48853,2.5702,-12.9156
0.746,9.49109,2.55735,-12.851
0.747,9.49363,2.54457,-12.7868
0.748,9.49616,2.53184,-12.7228
0.749,9.49868,2.51918,-12.6592
0.75,9.50119,2.50659,-12.5959
0.751,9.50368,2.49406,-12.5329
0.752,9.50616,2.48158,-12.4703
0.753,9.50863,2.46918,-12.4079
0.754,9.51109,2.45683,-12.3459
0.755,9.51354,2.44455,-12.2842
0.756,9.51597,2.43232,-12.2227
0.757,9.51839,2.42016,-12.1616
0.758,9.5208,2.40806,-12.1008
0.759,9.52319,2.39602,-12.0403
0.76,9.52558,2.38404,-11.9801
0.761,9.52795,2.37212,-11.9202
0.762,9.53031,2.36026,-11.8606
0.763,9.53266,2.34846,-11.8013
0.764,9.53499,2.33672,-11.7423
0.765,9.53732,2.32503,-11.6836
0.766,9.53963,2.31341,-11.6252
0.767,9.54193,2.30184,-11.567
0.768,9.54422,2.29033,-11.5092
0.769,9.5465,2.27888,-11.4517
0.77,9.54877,2.26749,-11.3944
0.771,9.55103,2.25615,-11.3374
0.772,9.55327,2.24487,-11.2807
0.773,9.5555,2.23364,-11.2243
0.774,9.55773,2.22248,-11.1682
0.775,9.55994,2.21136,-11.1124
0.776,9.56214,2.20031,-11.0568
0.777,9.56433,2.1893,-11.0015
0.778,9.56651,2.17836,-10.9465
0.779,9.56867,2.16747,-10.8918
0.78,9.57083,2.15663,-10.8373
0.781,9.57298,2.14585,-10.7831
