Time,TCP_Z,Error_Z,Joint_V_Norm
0.532,0.654159,0.0973414,0.725671
0.533,0.654164,0.0973364,0.725675
0.534,0.654169,0.0973314,0.725678
0.535,0.654174,0.0973264,0.725681
0.536,0.654179,0.0973214,0.725684
0.537,0.654184,0.0973164,0.725687
0.538,0.654189,0.0973114,0.72569
0.539,0.654194,0.0973065,0.725693
0.54,0.654199,0.0973015,0.725697
0.541,0.654204,0.0972965,0.7257
0.542,0.654209,0.0972915,0.725703
0.543,0.654214,0.0972865,0.725706
0.544,0.654219,0.0972815,0.725709
0.545,0.654224,0.0972765,0.725712
0.546,0.654229,0.0972715,0.725716
0.547,0.654234,0.0972665,0.725719
0.548,0.654239,0.0972615,0.725722
0.549,0.654244,0.0972565,0.725725
0.55,0.654249,0.0972515,0.725728
0.551,0.654254,0.0972465,0.725731
0.552,0.654259,0.0972415,0.725734
0.553,0.654264,0.0972365,0.725738
0.554,0.654268,0.0972315,0.725741
0.555,0.654273,0.0972265,0.725744
0.556,0.654278,0.0972215,0.725747
0.557,0.654283,0.0972165,0.72575
0.558,0.654288,0.0972115,0.725753
0.559,0.654293,0.0972065,0.725757
0.56,0.654298,0.0972015,0.72576
0.561,0.654303,0.0971965,0.725763
0.562,0.654308,0.0971915,0.725766
0.563,0.654313,0.0971865,0.725769
0.564,0.654318,0.0971815,0.725772
0.565,0.654323,0.0971765,0.725775
0.566,0.654328,0.0971715,0.725779
0.567,0.654333,0.0971665,0.725782
0.568,0.654338,0.0971615,0.725785
0.569,0.654343,0.0971565,0.725788
0.57,0.654348,0.0971516,0.725791
0.571,0.654353,0.0971466,0.725794
0.572,0.654358,0.0971416,0.725798
0.573,0.654363,0.0971366,0.725801
0.574,0.654368,0.0971316,0.725804
0.575,0.654373,0.0971266,0.725807
0.576,0.654378,0.0971216,0.72581
0.577,0.654383,0.0971166,0.725813
0.578,0.654388,0.0971116,0.725816
0.579,0.654393,0.0971066,0.72582
0.58,0.654398,0.0971016,0.725823
0.581,0.654403,0.0970966,0.725826
0.582,0.654408,0.0970916,0.725829
0.583,0.654413,0.0970866,0.725832
0.584,0.654418,0.0970816,0.725835
0.585,0.654423,0.0970766,0.725838
0.586,0.654428,0.0970716,0.725842
0.587,0.654433,0.0970666,0.725845
0.588,0.654438,0.0970616,0.725848
0.589,0.654443,0.0970566,0.725851
0.59,0.654448,0.0970516,0.725854
0.591,0.654453,0.0970466,0.725857
0.592,0.654458,0.0970416,0.72586
0.593,0.654463,0.0970366,0.725864
0.594,0.654468,0.0970316,0.725867
0.595,0.654473,0.0970266,0.72587
0.596,0.654478,0.0970216,0.725873
0.597,0.654483,0.0970166,0.725876
0.598,0.654488,0.0970116,0.725879
0.599,0.654493,0.0970066,0.725882
0.6,0.654498,0.0970016,0.725886
0.601,0.654503,0.0969967,0.725889
0.602,0.654508,0.0969917,0.725892
0.603,0.654513,0.0969867,0.725895
0.604,0.654518,0.0969817,0.725898
0.605,0.654523,0.0969767,0.725901
0.606,0.654528,0.0969717,0.725904
0.607,0.654533,0.0969667,0.725908
0.608,0.654538,0.0969617,0.725911
0.609,0.654543,0.0969567,0.725914
0.61,0.654548,0.0969517,0.725917
0.611,0.654553,0.0969467,0.72592
0.612,0.654558,0.0969417,0.725923
0.613,0.654563,0.0969367,0.725926
0.614,0.654568,0.0969317,0.72593
0.615,0.654573,0.0969267,0.725933
0.616,0.654578,0.0969217,0.725936
0.617,0.654583,0.0969167,0.725939
0.618,0.654588,0.0969117,0.725942
0.619,0.654593,0.0969067,0.725945
0.62,0.654598,0.0969017,0.725948
0.621,0.654603,0.0968967,0.725952
0.622,0.654608,0.0968917,0.725955
0.623,0.654613,0.0968867,0.725958
0.624,0.654618,0.0968817,0.725961
0.625,0.654623,0.0968767,0.725964
0.626,0.654628,0.0968717,0.725967
0.627,0.654633,0.0968667,0.72597
0.628,0.654638,0.0968617,0.725973
0.629,0.654643,0.0968567,0.725977
0.63,0.654648,0.0968517,0.72598
0.631,0.654653,0.0968467,0.725983
0.632,0.654658,0.0968418,0.725986
0.633,0.654663,0.0968368,0.725989
0.634,0.654668,0.0968318,0.725992
0.635,0.654673,0.0968268,0.725995
0.636,0.654678,0.0968218,0.725999
0.637,0.654683,0.0968168,0.726002
0.638,0.654688,0.0968118,0.726005
0.639,0.654693,0.0968068,0.726008
0.64,0.654698,0.0968018,0.726011
0.641,0.654703,0.0967968,0.726014
0.642,0.654708,0.0967918,0.726017
0.643,0.654713,0.0967868,0.72602
0.644,0.654718,0.0967818,0.726024
