Time,Step,Q_Error,Exec_us,Reached
0.5480,1,168.9693,0.2590,0
0.5490,1,168.8058,0.2600,0
0.5500,1,168.6421,0.2610,0
0.5510,1,168.4781,0.2610,0
0.5520,1,168.3139,0.2600,0
0.5530,1,168.1493,0.2610,0
0.5540,1,167.9846,0.2600,0
0.5550,1,167.8195,0.2610,0
0.5560,1,167.6542,0.2590,0
0.5570,1,167.4886,0.2600,0
0.5580,1,167.3228,0.2590,0
0.5590,1,167.1567,0.2590,0
0.5600,1,166.9903,0.2600,0
0.5610,1,166.8237,0.2590,0
0.5620,1,166.6568,0.2620,0
0.5630,1,166.4897,0.2580,0
0.5640,1,166.3222,0.2610,0
0.5650,1,166.1545,0.2590,0
0.5660,1,165.9866,0.2620,0
0.5670,1,165.8184,0.2580,0
0.5680,1,165.6499,0.2590,0
0.5690,1,165.4812,0.2630,0
0.5700,1,165.3121,0.2600,0
0.5710,1,165.1429,0.2590,0
0.5720,1,164.9733,0.2590,0
0.5730,1,164.8035,0.2590,0
0.5740,1,164.6335,0.2600,0
0.5750,1,164.4631,0.2610,0
0.5760,1,164.2925,0.2590,0
0.5770,1,164.1217,0.2600,0
0.5780,1,163.9506,0.2610,0
0.5790,1,163.7792,0.2600,0
0.5800,1,163.6075,0.2580,0
0.5810,1,163.4356,0.2620,0
0.5820,1,163.2634,0.2620,0
0.5830,1,163.0910,0.2610,0
0.5840,1,162.9183,0.2620,0
0.5850,1,162.7453,0.3340,0
0.5860,1,162.5721,0.2610,0
0.5870,1,162.3986,0.2610,0
0.5880,1,162.2248,0.2600,0
0.5890,1,162.0508,0.2590,0
0.5900,1,161.8765,0.2610,0
0.5910,1,161.7019,0.2600,0
0.5920,1,161.5271,0.2600,0
0.5930,1,161.3520,0.2590,0
0.5940,1,161.1767,0.2620,0
0.5950,1,161.0010,0.2620,0
0.5960,1,160.8252,0.2590,0
0.5970,1,160.6490,0.2600,0
0.5980,1,160.4726,0.2590,0
0.5990,1,160.2960,0.2630,0
0.6000,1,160.1190,0.2600,0
0.6010,1,159.9418,0.2610,0
0.6020,1,159.7644,0.2610,0
0.6030,1,159.5866,0.2590,0
0.6040,1,159.4087,0.2580,0
0.6050,1,159.2304,0.2600,0
0.6060,1,159.0519,0.3210,0
0.6070,1,158.8731,0.2670,0
0.6080,1,158.6941,0.2650,0
0.6090,1,158.5148,0.2660,0
0.6100,1,158.3352,0.2650,0
0.6110,1,158.1554,0.2640,0
0.6120,1,157.9753,0.2670,0
0.6130,1,157.7949,0.2640,0
0.6140,1,157.6143,0.2640,0
0.6150,1,157.4334,0.2640,0
0.6160,1,157.2522,0.2640,0
0.6170,1,157.0708,0.2650,0
0.6180,1,156.8891,0.2670,0
0.6190,1,156.7072,0.2640,0
0.6200,1,156.5250,0.3620,0
0.6210,1,156.3425,0.2830,0
0.6220,1,156.1598,0.2750,0
0.6230,1,155.9768,0.2640,0
0.6240,1,155.7935,0.2650,0
0.6250,1,155.6100,0.2650,0
0.6260,1,155.4262,0.2650,0
0.6270,1,155.2422,0.2660,0
0.6280,1,155.0579,0.2630,0
0.6290,1,154.8733,0.2640,0
0.6300,1,154.6885,0.2650,0
0.6310,1,154.5034,0.2640,0
0.6320,1,154.3180,0.2650,0
0.6330,1,154.1324,0.2630,0
0.6340,1,153.9465,0.2650,0
0.6350,1,153.7603,0.2660,0
0.6360,1,153.5739,0.2670,0
0.6370,1,153.3872,0.2640,0
0.6380,1,153.2003,0.2640,0
0.6390,1,153.0131,0.2650,0
0.6400,1,152.8256,0.2630,0
0.6410,1,152.6379,0.2640,0
0.6420,1,152.4499,0.2680,0
0.6430,1,152.2616,0.2650,0
0.6440,1,152.0731,0.2650,0
0.6450,1,151.8843,0.2660,0
0.6460,1,151.6953,0.2660,0
0.6470,1,151.5060,0.2660,0
0.6480,1,151.3164,0.2650,0
0.6490,1,151.1266,0.2640,0
0.6500,1,150.9365,0.2650,0
0.6510,1,150.7461,0.2640,0
0.6520,1,150.5555,0.2630,0
0.6530,1,150.3646,0.2650,0
0.6540,1,150.1735,0.2640,0
0.6550,1,149.9820,0.2900,0
0.6560,1,149.7905,0.2750,0
0.6570,1,149.5989,0.2720,0
0.6580,1,149.4072,0.2740,0
0.6590,1,149.2155,0.2720,0
0.6600,1,149.0237,0.2630,0
0.6610,1,148.8319,0.2640,0
0.6620,1,148.6401,0.2630,0
0.6630,1,148.4482,0.2630,0
0.6640,1,148.2562,0.2610,0
0.6650,1,148.0642,0.2610,0
0.6660,1,147.8721,0.2620,0
0.6670,1,147.6800,0.2630,0
0.6680,1,147.4879,0.2620,0
0.6690,1,147.2957,0.2640,0
0.6700,1,147.1034,0.2630,0
0.6710,1,146.9111,0.2620,0
0.6720,1,146.7188,0.2630,0
0.6730,1,146.5264,0.2640,0
0.6740,1,146.3339,0.2640,0
0.6750,1,146.1414,0.2620,0
0.6760,1,145.9489,0.2620,0
0.6770,1,145.7563,0.2640,0
0.6780,1,145.5636,0.2620,0
0.6790,1,145.3709,0.2620,0
0.6800,1,145.1782,0.2650,0
0.6810,1,144.9854,0.2640,0
0.6820,1,144.7925,0.2620,0
0.6830,1,144.5996,0.2610,0
0.6840,1,144.4067,0.2620,0
0.6850,1,144.2137,0.2650,0
0.6860,1,144.0206,0.2630,0
0.6870,1,143.8275,0.2640,0
0.6880,1,143.6344,0.2620,0
0.6890,1,143.4412,0.2640,0
0.6900,1,143.2479,0.2640,0
0.6910,1,143.0546,0.2620,0
0.6920,1,142.8613,0.3010,0
0.6930,1,142.6679,0.2630,0
0.6940,1,142.4744,0.2650,0
0.6950,1,142.2810,0.2640,0
0.6960,1,142.0874,0.2660,0
0.6970,1,141.8938,0.2620,0
0.6980,1,141.7002,0.2640,0
0.6990,1,141.5065,0.2630,0
0.7000,1,141.3127,0.2640,0
0.7010,1,141.1190,0.2630,0
0.7020,1,140.9251,0.2630,0
0.7030,1,140.7312,0.2630,0
0.7040,1,140.5373,0.2630,0
0.7050,1,140.3433,0.2650,0
0.7060,1,140.1493,0.2630,0
0.7070,1,139.9552,0.2650,0
0.7080,1,139.7610,0.2620,0
0.7090,1,139.5669,0.2630,0
0.7100,1,139.3726,0.2640,0
0.7110,1,139.1783,0.2630,0
0.7120,1,138.9840,0.2640,0
0.7130,1,138.7896,0.2640,0
0.7140,1,138.5952,0.2630,0
0.7150,1,138.4007,0.2660,0
0.7160,1,138.2062,0.2650,0
0.7170,1,138.0116,0.2650,0
0.7180,1,137.8170,0.2630,0
0.7190,1,137.6223,0.2640,0
0.7200,1,137.4276,0.2650,0
0.7210,1,137.2328,0.2630,0
0.7220,1,137.0380,0.2650,0
0.7230,1,136.8431,0.2640,0
0.7240,1,136.6482,0.2640,0
0.7250,1,136.4532,0.2620,0
0.7260,1,136.2582,0.2650,0
0.7270,1,136.0631,0.2630,0
0.7280,1,135.8680,0.2640,0
