Time,Step,X,Y,Z,Att_X,Att_Y,Att_Z,Goal_X,Goal_Y,Goal_Z,P_Err,R_Err,Vel_Norm,Reached
0.154000,1,0.099849,0.034501,1.001047,0.131742,0.034500,1.022096,0.227866,0.034500,1.086179,0.153740,0.000012,0.000000,0
0.155000,1,0.100266,0.034501,1.001325,0.132158,0.034500,1.022373,0.227866,0.034500,1.086179,0.153238,0.000012,0.000000,0
0.156000,1,0.100687,0.034501,1.001605,0.132574,0.034500,1.022650,0.227866,0.034500,1.086179,0.152733,0.000012,0.000000,0
0.157000,1,0.101112,0.034501,1.001887,0.132990,0.034500,1.022928,0.227866,0.034500,1.086179,0.152223,0.000012,0.000000,0
0.158000,1,0.101541,0.034501,1.002172,0.133406,0.034500,1.023205,0.227866,0.034500,1.086179,0.151708,0.000013,0.000000,0
0.159000,1,0.101974,0.034501,1.002459,0.133822,0.034500,1.023482,0.227866,0.034500,1.086179,0.151189,0.000013,0.000000,0
0.160000,1,0.102410,0.034501,1.002748,0.134238,0.034500,1.023760,0.227866,0.034500,1.086179,0.150665,0.000013,0.000000,0
0.161000,1,0.102851,0.034501,1.003040,0.134654,0.034500,1.024037,0.227866,0.034500,1.086179,0.150137,0.000013,0.000000,0
0.162000,1,0.103295,0.034501,1.003334,0.135070,0.034500,1.024315,0.227866,0.034500,1.086179,0.149604,0.000013,0.000000,0
0.163000,1,0.103743,0.034501,1.003630,0.135486,0.034500,1.024592,0.227866,0.034500,1.086179,0.149067,0.000013,0.000000,0
0.164000,1,0.104194,0.034501,1.003928,0.135902,0.034500,1.024869,0.227866,0.034500,1.086179,0.148526,0.000013,0.000000,0
0.165000,1,0.104650,0.034501,1.004229,0.136318,0.034500,1.025147,0.227866,0.034500,1.086179,0.147980,0.000013,0.000000,0
0.166000,1,0.105109,0.034501,1.004531,0.136734,0.034500,1.025424,0.227866,0.034500,1.086179,0.147431,0.000013,0.000000,0
0.167000,1,0.105572,0.034501,1.004836,0.137150,0.034500,1.025701,0.227866,0.034500,1.086179,0.146876,0.000013,0.000000,0
0.168000,1,0.106038,0.034501,1.005143,0.137566,0.034500,1.025979,0.227866,0.034500,1.086179,0.146318,0.000013,0.000000,0
0.169000,1,0.106508,0.034501,1.005452,0.137982,0.034500,1.026256,0.227866,0.034500,1.086179,0.145756,0.000013,0.000000,0
0.170000,1,0.106981,0.034501,1.005763,0.138398,0.034500,1.026533,0.227866,0.034500,1.086179,0.145189,0.000013,0.000000,0
0.171000,1,0.107459,0.034501,1.006076,0.138814,0.034500,1.026811,0.227866,0.034500,1.086179,0.144618,0.000013,0.000000,0
0.172000,1,0.107939,0.034501,1.006391,0.139230,0.034500,1.027088,0.227866,0.034500,1.086179,0.144044,0.000012,0.000000,0
0.173000,1,0.108423,0.034501,1.006708,0.139646,0.034500,1.027365,0.227866,0.034500,1.086179,0.143465,0.000012,0.000000,0
0.174000,1,0.108911,0.034501,1.007028,0.140062,0.034500,1.027643,0.227866,0.034500,1.086179,0.142882,0.000012,0.000000,0
0.175000,1,0.109402,0.034501,1.007348,0.140478,0.034500,1.027920,0.227866,0.034500,1.086179,0.142296,0.000012,0.000000,0
0.176000,1,0.109896,0.034501,1.007671,0.140894,0.034500,1.028197,0.227866,0.034500,1.086179,0.141705,0.000011,0.000000,0
0.177000,1,0.110394,0.034501,1.007996,0.141310,0.034500,1.028475,0.227866,0.034500,1.086179,0.141111,0.000011,0.000000,0
0.178000,1,0.110895,0.034501,1.008323,0.141726,0.034500,1.028752,0.227866,0.034500,1.086179,0.140513,0.000011,0.000000,0
0.179000,1,0.111400,0.034501,1.008651,0.142142,0.034500,1.029029,0.227866,0.034500,1.086179,0.139911,0.000010,0.000000,0
0.180000,1,0.111907,0.034500,1.008981,0.142558,0.034500,1.029307,0.227866,0.034500,1.086179,0.139305,0.000010,0.000000,0
0.181000,1,0.112418,0.034500,1.009313,0.142974,0.034500,1.029584,0.227866,0.034500,1.086179,0.138696,0.000010,0.000000,0
0.182000,1,0.112932,0.034500,1.009647,0.143390,0.034500,1.029862,0.227866,0.034500,1.086179,0.138083,0.000009,0.000000,0
0.183000,1,0.113450,0.034500,1.009982,0.143806,0.034500,1.030139,0.227866,0.034500,1.086179,0.137467,0.000009,0.000000,0
0.184000,1,0.113970,0.034500,1.010319,0.144222,0.034500,1.030416,0.227866,0.034500,1.086179,0.136847,0.000008,0.000000,0
0.185000,1,0.114493,0.034500,1.010658,0.144639,0.034500,1.030694,0.227866,0.034500,1.086179,0.136223,0.000008,0.000000,0
0.186000,1,0.115020,0.034500,1.010999,0.145055,0.034500,1.030971,0.227866,0.034500,1.086179,0.135597,0.000007,0.000000,0
